run_name,use_bid_ask,test_method,method,pair,date,n_rows,n_maturities,call_pairs_tested,call_violations,call_violation_rate,put_pairs_tested,put_violations,put_violation_rate
rounded_mid,false,rounded,original,GBPUSD,2022-10-31,140,14,319,0,0.0,319,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-01,140,14,321,0,0.0,321,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-02,140,14,328,0,0.0,328,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-03,140,14,313,0,0.0,313,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-04,140,14,314,0,0.0,314,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-07,140,14,316,0,0.0,316,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-08,140,14,316,0,0.0,316,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-09,140,14,322,0,0.0,322,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-10,140,14,340,0,0.0,340,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-11,140,14,343,0,0.0,343,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-14,140,14,342,0,0.0,342,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-15,140,14,341,0,0.0,341,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-16,140,14,353,0,0.0,353,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-17,140,14,337,0,0.0,337,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-18,140,14,337,0,0.0,337,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-21,140,14,330,0,0.0,330,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-22,140,14,333,0,0.0,333,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-23,140,14,345,0,0.0,345,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-24,140,14,335,0,0.0,335,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-25,140,14,340,0,0.0,340,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-28,140,14,344,0,0.0,344,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-29,140,14,342,0,0.0,342,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-11-30,140,14,352,0,0.0,352,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-01,140,14,359,0,0.0,359,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-02,140,14,360,0,0.0,360,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-05,140,14,359,0,0.0,359,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-06,140,14,369,0,0.0,369,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-07,140,14,369,0,0.0,369,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-08,140,14,383,0,0.0,383,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-09,140,14,382,0,0.0,382,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-12,140,14,394,0,0.0,394,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-13,140,14,381,0,0.0,381,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-14,140,14,403,0,0.0,403,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-15,140,14,378,0,0.0,378,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-16,140,14,376,0,0.0,376,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-19,140,14,377,0,0.0,377,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-20,140,14,374,0,0.0,374,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-21,140,14,379,0,0.0,379,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-22,140,14,361,0,0.0,361,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-23,140,14,373,0,0.0,373,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-26,140,14,374,0,0.0,374,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-27,140,14,361,0,0.0,361,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-28,140,14,365,0,0.0,365,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-29,140,14,364,0,0.0,364,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2022-12-30,140,14,369,0,0.0,369,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-02,140,14,369,0,0.0,369,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-03,140,14,366,0,0.0,366,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-04,140,14,369,0,0.0,369,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-05,140,14,372,0,0.0,372,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-06,140,14,372,0,0.0,372,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-09,140,14,371,0,0.0,371,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-10,140,14,373,0,0.0,373,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-11,140,14,381,0,0.0,381,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-12,140,14,373,0,0.0,373,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-13,140,14,373,0,0.0,373,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-16,140,14,375,0,0.0,375,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-17,140,14,385,0,0.0,385,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-18,140,14,385,0,0.0,385,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-19,140,14,392,0,0.0,392,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-20,140,14,394,0,0.0,394,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-23,140,14,392,0,0.0,392,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-24,140,14,389,0,0.0,389,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-25,140,14,388,0,0.0,388,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-26,140,14,391,0,0.0,391,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-27,140,14,385,0,0.0,385,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-30,140,14,387,0,0.0,387,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-01-31,140,14,394,0,0.0,394,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-01,140,14,402,0,0.0,402,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-02,140,14,394,0,0.0,394,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-03,140,14,386,0,0.0,386,0,0.0
rounded_mid,false,rounded,original,GBPUSD,2023-02-06,140,14,385,0,0.0,385,0,0.0
