sample,cp_flag,liquidity,outcome,trading_days,count,share_of_all_episodes
full,P,all,corrected,72,37,1.4994119265899267e-6
full,P,all,corrected,73,22,8.915422266210375e-7
full,P,all,corrected,74,6,2.431478799875557e-7
full,P,all,corrected,75,14,5.673450533042966e-7
full,P,all,corrected,76,5,2.0262323332296307e-7
full,P,all,corrected,77,7,2.836725266521483e-7
full,P,all,corrected,78,10,4.0524646664592615e-7
full,P,all,corrected,79,11,4.4577111331051875e-7
full,P,all,corrected,80,15,6.078696999688892e-7
full,P,all,corrected,81,3,1.2157393999377785e-7
full,P,all,corrected,82,5,2.0262323332296307e-7
full,P,all,corrected,83,3,1.2157393999377785e-7
full,P,all,corrected,84,9,3.6472181998133355e-7
full,P,all,corrected,85,5,2.0262323332296307e-7
full,P,all,corrected,86,7,2.836725266521483e-7
full,P,all,corrected,87,11,4.4577111331051875e-7
full,P,all,corrected,88,13,5.26820406639704e-7
full,P,all,corrected,89,5,2.0262323332296307e-7
full,P,all,corrected,90,6,2.431478799875557e-7
full,P,all,corrected,91,7,2.836725266521483e-7
full,P,all,corrected,92,3,1.2157393999377785e-7
full,P,all,corrected,93,14,5.673450533042966e-7
full,P,all,corrected,94,4,1.6209858665837045e-7
full,P,all,corrected,95,7,2.836725266521483e-7
full,P,all,corrected,96,9,3.6472181998133355e-7
full,P,all,corrected,97,7,2.836725266521483e-7
full,P,all,corrected,98,7,2.836725266521483e-7
full,P,all,corrected,99,3,1.2157393999377785e-7
full,P,all,corrected,100,13,5.26820406639704e-7
full,P,all,corrected,101,2,8.104929332918522e-8
full,P,all,corrected,102,11,4.4577111331051875e-7
full,P,all,corrected,103,5,2.0262323332296307e-7
full,P,all,corrected,104,12,4.862957599751114e-7
full,P,all,corrected,105,10,4.0524646664592615e-7
full,P,all,corrected,106,3,1.2157393999377785e-7
full,P,all,corrected,107,9,3.6472181998133355e-7
full,P,all,corrected,108,3,1.2157393999377785e-7
full,P,all,corrected,109,1,4.052464666459261e-8
full,P,all,corrected,110,3,1.2157393999377785e-7
full,P,all,corrected,111,3,1.2157393999377785e-7
full,P,all,corrected,112,2,8.104929332918522e-8
full,P,all,corrected,113,1,4.052464666459261e-8
full,P,all,corrected,114,6,2.431478799875557e-7
full,P,all,corrected,115,6,2.431478799875557e-7
full,P,all,corrected,116,10,4.0524646664592615e-7
full,P,all,corrected,117,3,1.2157393999377785e-7
full,P,all,corrected,118,4,1.6209858665837045e-7
full,P,all,corrected,119,2,8.104929332918522e-8
full,P,all,corrected,120,4,1.6209858665837045e-7
full,P,all,corrected,121,7,2.836725266521483e-7
full,P,all,corrected,122,1,4.052464666459261e-8
full,P,all,corrected,123,6,2.431478799875557e-7
full,P,all,corrected,124,2,8.104929332918522e-8
full,P,all,corrected,125,3,1.2157393999377785e-7
full,P,all,corrected,126,1,4.052464666459261e-8
full,P,all,corrected,127,3,1.2157393999377785e-7
full,P,all,corrected,128,1,4.052464666459261e-8
full,P,all,corrected,129,3,1.2157393999377785e-7
full,P,all,corrected,130,2,8.104929332918522e-8
full,P,all,corrected,131,5,2.0262323332296307e-7
full,P,all,corrected,132,1,4.052464666459261e-8
full,P,all,corrected,133,4,1.6209858665837045e-7
full,P,all,corrected,135,3,1.2157393999377785e-7
full,P,all,corrected,137,1,4.052464666459261e-8
full,P,all,corrected,140,1,4.052464666459261e-8
full,P,all,corrected,143,1,4.052464666459261e-8
full,P,all,corrected,145,4,1.6209858665837045e-7
full,P,all,corrected,146,1,4.052464666459261e-8
full,P,all,corrected,148,5,2.0262323332296307e-7
full,P,all,corrected,149,1,4.052464666459261e-8
full,P,all,corrected,155,3,1.2157393999377785e-7
full,P,all,corrected,159,1,4.052464666459261e-8
full,P,all,corrected,160,4,1.6209858665837045e-7
full,P,all,corrected,167,1,4.052464666459261e-8
full,P,all,corrected,168,1,4.052464666459261e-8
full,P,all,corrected,171,1,4.052464666459261e-8
full,P,all,corrected,172,2,8.104929332918522e-8
full,P,all,corrected,173,1,4.052464666459261e-8
full,P,all,corrected,174,1,4.052464666459261e-8
full,P,all,corrected,175,1,4.052464666459261e-8
full,P,all,corrected,176,1,4.052464666459261e-8
full,P,all,corrected,177,3,1.2157393999377785e-7
full,P,all,corrected,178,2,8.104929332918522e-8
full,P,all,corrected,183,1,4.052464666459261e-8
full,P,all,corrected,187,1,4.052464666459261e-8
full,P,all,corrected,195,1,4.052464666459261e-8
full,P,all,corrected,197,2,8.104929332918522e-8
full,P,all,corrected,199,1,4.052464666459261e-8
full,P,all,corrected,205,1,4.052464666459261e-8
full,P,all,corrected,210,1,4.052464666459261e-8
full,P,all,corrected,226,1,4.052464666459261e-8
full,P,all,corrected,245,1,4.052464666459261e-8
full,P,all,corrected,257,1,4.052464666459261e-8
full,P,all,corrected,258,1,4.052464666459261e-8
full,P,all,corrected,262,1,4.052464666459261e-8
full,P,all,corrected,276,1,4.052464666459261e-8
full,P,all,corrected,349,1,4.052464666459261e-8
full,P,all,corrected,357,1,4.052464666459261e-8
