date,call_pairs_tested,call_violations,call_violation_rate,put_pairs_tested,put_violations,put_violation_rate,year,call_rate_30d,put_rate_30d
2000-05-09,298,1,0.003355704697986577,369,0,0.0,2000,0.002188050496249166,0.000201379865792512
2000-05-10,707,15,0.021216407355021217,849,0,0.0,2000,0.002895264074749873,0.000201379865792512
2000-05-11,529,1,0.001890359168241966,478,0,0.0,2000,0.0029582760470246053,0.000201379865792512
2000-05-12,382,0,0.0,344,0,0.0,2000,0.0029582760470246053,0.000201379865792512
2000-05-15,411,0,0.0,467,2,0.004282655246252677,2000,0.002896888692819572,0.0003441350406676012
2000-05-16,697,0,0.0,593,3,0.00505902192242833,2000,0.002896888692819572,0.0004526006330277273
2000-05-17,380,4,0.010526315789473684,341,2,0.005865102639296188,2000,0.003247765885802028,0.0006481040543376002
2000-05-18,195,0,0.0,311,0,0.0,2000,0.003247765885802028,0.0006481040543376002
2000-05-19,390,0,0.0,426,0,0.0,2000,0.003247765885802028,0.0006481040543376002
2000-05-22,828,0,0.0,761,0,0.0,2000,0.003247765885802028,0.0006481040543376002
2000-05-23,559,4,0.007155635062611807,497,0,0.0,2000,0.0034862870545557547,0.0006481040543376002
2000-05-24,794,0,0.0,677,0,0.0,2000,0.0034862870545557547,0.0006481040543376002
2000-05-25,614,5,0.008143322475570033,324,0,0.0,2000,0.003757731137074756,0.0006481040543376002
2000-05-26,445,0,0.0,288,0,0.0,2000,0.0034607749381141023,0.0006481040543376002
2000-05-30,753,0,0.0,530,0,0.0,2000,0.0021285753916288415,0.0006481040543376002
2000-05-31,786,0,0.0,687,0,0.0,2000,0.001946176850817168,0.0006185532269144323
2000-06-01,530,0,0.0,751,0,0.0,2000,0.001946176850817168,0.0005564221303005771
2000-06-02,424,0,0.0,1110,0,0.0,2000,0.001742924818296843,0.0005564221303005771
2000-06-05,537,0,0.0,602,0,0.0,2000,0.001742924818296843,0.0005564221303005771
2000-06-06,387,1,0.002583979328165375,478,0,0.0,2000,0.0018290574625690222,0.0005564221303005771
2000-06-07,319,0,0.0,319,0,0.0,2000,0.0018290574625690222,0.0005068926602659065
2000-06-08,460,0,0.0,408,0,0.0,2000,0.0018290574625690222,0.0005068926602659065
2000-06-09,251,0,0.0,235,0,0.0,2000,0.0018290574625690222,0.0005068926602659065
2000-06-12,365,0,0.0,459,0,0.0,2000,0.0018290574625690222,0.0005068926602659065
2000-06-13,499,0,0.0,532,0,0.0,2000,0.0018290574625690222,0.0005068926602659065
2000-06-14,441,0,0.0,677,4,0.005908419497784343,2000,0.0018290574625690222,0.000703839976858718
2000-06-15,210,0,0.0,452,0,0.0,2000,0.0018290574625690222,0.000703839976858718
2000-06-16,370,0,0.0,301,0,0.0,2000,0.0018290574625690222,0.000703839976858718
2000-06-19,285,0,0.0,296,0,0.0,2000,0.0018290574625690222,0.000703839976858718
2000-06-20,339,0,0.0,386,0,0.0,2000,0.0018290574625690222,0.000703839976858718
2000-06-21,180,0,0.0,329,0,0.0,2000,0.0017172006393028029,0.000703839976858718
2000-06-22,177,0,0.0,441,0,0.0,2000,0.0010099870608020955,0.000703839976858718
2000-06-23,289,0,0.0,485,0,0.0,2000,0.0009469750885273632,0.000703839976858718
2000-06-26,154,0,0.0,231,0,0.0,2000,0.0009469750885273632,0.000703839976858718
2000-06-27,209,0,0.0,255,0,0.0,2000,0.0009469750885273632,0.0005610848019836287
2000-06-28,230,1,0.004347826086956522,374,0,0.0,2000,0.0010919026247592472,0.00039245073790268435
2000-06-29,360,13,0.03611111111111111,376,2,0.005319148936170213,2000,0.0019447291354804947,0.00037425228113181856
2000-06-30,135,2,0.014814814814814815,207,0,0.0,2000,0.002438556295974322,0.00037425228113181856
2000-07-03,170,1,0.0058823529411764705,214,2,0.009345794392523364,2000,0.0026346347273468714,0.0006857787608825973
2000-07-05,277,0,0.0,332,0,0.0,2000,0.0026346347273468714,0.0006857787608825973
2000-07-06,349,0,0.0,290,0,0.0,2000,0.0023961135585931436,0.0006857787608825973
2000-07-07,361,0,0.0,399,0,0.0,2000,0.0023961135585931436,0.0006857787608825973
2000-07-10,239,1,0.0041841004184100415,338,1,0.0029585798816568047,2000,0.0022641394900211444,0.0007843980902711575
2000-07-11,285,0,0.0,241,2,0.008298755186721992,2000,0.0022641394900211444,0.0010610232631618904
2000-07-12,201,0,0.0,658,0,0.0,2000,0.0022641394900211444,0.0010610232631618904
2000-07-13,189,0,0.0,308,1,0.003246753246753247,2000,0.0022641394900211444,0.0011692483713869987
2000-07-14,280,0,0.0,419,0,0.0,2000,0.0022641394900211444,0.0011692483713869987
2000-07-17,172,0,0.0,395,2,0.005063291139240506,2000,0.0022641394900211444,0.0013380247426950157
2000-07-18,204,0,0.0,252,1,0.003968253968253968,2000,0.0022641394900211444,0.0014702998749701478
2000-07-19,262,0,0.0,265,0,0.0,2000,0.0021780068457489653,0.0014702998749701478
2000-07-20,172,0,0.0,251,0,0.0,2000,0.0021780068457489653,0.0014702998749701478
2000-07-21,128,0,0.0,249,0,0.0,2000,0.0021780068457489653,0.0014702998749701478
2000-07-24,369,0,0.0,391,0,0.0,2000,0.0021780068457489653,0.0014702998749701478
2000-07-25,216,0,0.0,347,0,0.0,2000,0.0021780068457489653,0.0014702998749701478
2000-07-26,248,0,0.0,338,0,0.0,2000,0.0021780068457489653,0.0014702998749701478
2000-07-27,384,1,0.0026041666666666665,281,3,0.010676156583629894,2000,0.0022648124013045206,0.0016292244444983328
2000-07-28,437,1,0.002288329519450801,323,0,0.0,2000,0.002341090051952881,0.001629224444498333
2000-07-31,332,0,0.0,316,0,0.0,2000,0.002341090051952881,0.001629224444498333
2000-08-01,332,0,0.0,294,0,0.0,2000,0.002341090051952881,0.001629224444498333
2000-08-02,229,0,0.0,214,0,0.0,2000,0.002341090051952881,0.001629224444498333
2000-08-03,398,0,0.0,332,0,0.0,2000,0.002341090051952881,0.001629224444498333
2000-08-04,295,0,0.0,282,0,0.0,2000,0.002341090051952881,0.001629224444498333
2000-08-07,364,0,0.0,298,0,0.0,2000,0.002341090051952881,0.001629224444498333
2000-08-08,420,0,0.0,381,0,0.0,2000,0.002341090051952881,0.001629224444498333
2000-08-09,290,0,0.0,436,3,0.006880733944954129,2000,0.002341090051952881,0.0018585822426634706
2000-08-10,207,0,0.0,256,0,0.0,2000,0.0021961625157209965,0.0018585822426634706
2000-08-11,259,0,0.0,312,0,0.0,2000,0.0009924588120172931,0.0016812772781244635
2000-08-14,337,0,0.0,451,11,0.024390243902439025,2000,0.000498631651523466,0.0024942854082057645
2000-08-15,207,0,0.0,183,0,0.0,2000,0.000302553220150917,0.0021827589284549856
2000-08-16,256,0,0.0,285,1,0.0035087719298245615,2000,0.000302553220150917,0.002299717992782471
2000-08-17,191,0,0.0,254,0,0.0,2000,0.000302553220150917,0.002299717992782471
